Product Name,Advisory Number,Date Posted
OTC Livzon Cetirizine Hydrochloride Tablets,FDA Advisory No. 2020-1607,2020-09-18
OTC Methenamine Solution – Wuluotupin Rongye (as reflected in the package insert),FDA Advisory No. 2020-1607,2020-09-18
Fu Fang Huang’ An Jia’ E Zuo Pian,FDA Advisory No. 2020-1608,2020-09-18
Loperamide Hydrochloride Capsules,FDA Advisory No. 2020-1608,2020-09-18
OTC Constipation-Relief Capsule,FDA Advisory No. 2020-1608,2020-09-18
OTC Loratadine Tablets (Clarityne®),FDA Advisory No. 2020-1608,2020-09-18
Yinhua Miyanling Pian (as reflected in the package insert),FDA Advisory No. 2020-1608,2020-09-18
Anlitin Levonorgestrel,FDA Advisory No. 2020-1609,2020-09-18
Hippigra® Sildenafil (as Citrate) 100mg Tablet,FDA Advisory No. 2020-1609,2020-09-18
Jucishan® Ciprofloxacin Lactate Eye Drops,FDA Advisory No. 2020-1609,2020-09-18
Jucishan® Ofloxacin Ear Drops,FDA Advisory No. 2020-1609,2020-09-18
OTC Levonorgestrel Tablets – Zuoquenuoyuntong Pian (as reflected in the package insert),FDA Advisory No. 2020-1609,2020-09-18
Label in foreign language,FDA Advisory No. 2020-1610,2020-09-18
Natural Canvisol KSADTON Natural Herbals Formula,FDA Advisory No. 2020-1610,2020-09-18
OTC Baojikoufuye,FDA Advisory No. 2020-1610,2020-09-18
"OTC Paracetamol, Caffeine and Aspirin Powder",FDA Advisory No. 2020-1610,2020-09-18
OTC Yunnan Baiyao Qiwuji,FDA Advisory No. 2020-1610,2020-09-18
Ejiao 10g,FDA Advisory No. 2020-1611,2020-09-18
Heart Tonic Pills High Concentrated Health Product Comprises Precious Chinese Herbs,FDA Advisory No. 2020-1611,2020-09-18
OTC Jing Wan Hong Ruan Gao,FDA Advisory No. 2020-1611,2020-09-18
OTC Weitai “999” Granule Sanjiu Weitai Keli,FDA Advisory No. 2020-1611,2020-09-18
WT® (Label in foreign language),FDA Advisory No. 2020-1611,2020-09-18
Apollo® Hericium Erinaceus Super-Quality Healthy Oral Liquid,FDA Advisory No. 2020-1612,2020-09-18
Label in foreign language,FDA Advisory No. 2020-1612,2020-09-18
OTC Naoxinshu Koufuye,FDA Advisory No. 2020-1612,2020-09-18
Thousand Oil 45g,FDA Advisory No. 2020-1612,2020-09-18
Wo Hong Tong Double Action Bai Fung Pills,FDA Advisory No. 2020-1612,2020-09-18
Fengshiding Jiaonang (as reflected in the package insert),FDA Advisory No. 2020-1613,2020-09-18
OTC Zu Guang San,FDA Advisory No. 2020-1613,2020-09-18
Ruhe Sanjie Tablets,FDA Advisory No. 2020-1613,2020-09-18
Vitamin E (as reflected in the secondary packaging) YangShengTang Natural Vitamin E Soft Capsules (as reflected in the primary packaging),FDA Advisory No. 2020-1613,2020-09-18
Compound Reserpine and Triamterene Tablets – Fufang Lixueping Anbendieding Pian,FDA Advisory No. 2020-1614,2020-09-18
OTC Montmorillonite Powder,FDA Advisory No. 2020-1614,2020-09-18
OTC Salicylic Acid and Phenol Plasters,FDA Advisory No. 2020-1614,2020-09-18
OTC ZSM Siwei Zhenceng Bingpeng Diyanye (as reflected in the package insert),FDA Advisory No. 2020-1614,2020-09-18
